index,k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Mortierellomycota,k__Fungi;__,k__Fungi;p__Fungi_phy_Incertae_sedis,k__Fungi;p__Zoopagomycota,k__Rhizaria;p__Cercozoa,k__Fungi;p__Rozellomycota,Unassigned;__,k__Fungi;p__Chytridiomycota,k__Fungi;p__Kickxellomycota,k__Fungi;p__Olpidiomycota,k__Ichthyosporia;p__Ichthyosporia_phy_Incertae_sedis,k__Fungi;p__Monoblepharomycota,k__Fungi;p__Blastocladiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mucoromycota,k__Stramenopila;p__Ochrophyta,k__Viridiplantae;p__Anthophyta,k__Fungi;p__Aphelidiomycota,k__Fungi;p__Sanchytriomycota,k__Metazoa;p__Chordata,k__Fungi;p__Basidiobolomycota,k__Viridiplantae;__,site_code,Year_est,Age,OS_location,Lat_long,Establishment,pH,EC,Cutting,Cattle,Sheep,Plough,pH_category,Age_category
NorringtonMannorFm_1,5053.0,3925.0,332.0,584.0,662.0,125.0,90.0,28.0,64.0,45.0,76.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45;nan,2009,12,ST9689721419,"50.99216, -2.0455866",seed_mix,7.83,33.5,No,No,Yes,Yes,Below_median,Below_median
NorringtonMannorFm_2,1290.0,5529.0,1543.0,1283.0,894.0,244.0,42.0,17.0,16.0,21.0,45.0,43.0,3.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46;nan,2009,12,ST9699420390,"50.982907, -2.0441957",seed_mix,8.2,28.5,No,No,Yes,No,Above_median,Below_median
ManorFmBerwickStJohn_1,1082.0,5550.0,2032.0,1620.0,203.0,263.0,35.0,127.0,23.0,32.0,16.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47;nan,2014,7,ST9468023123,"51.007466, -2.0772007",seed_mix,7.47,17.83,Yes,Yes,Yes,No,Below_median,Below_median
ManorFmBerwickStJohn_3,1352.0,4456.0,2101.0,1902.0,750.0,108.0,36.0,226.0,33.0,9.0,21.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48;nan,2018,3,ST9422022841,"51.004926, -2.0837525",seed_mix,8.36,23.0,Yes,Yes,Yes,No,Above_median,Below_median
Jemma_1,3158.0,1961.0,446.0,1695.0,1969.0,964.0,566.0,5.0,7.0,12.0,16.0,194.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49;nan,2010,11,SU1405276456,"51.486882, -1.7990143",Green_hay_bush,8.31,33.5,Yes,Yes,Yes,No,Above_median,Below_median
Jemma_2,4310.0,2507.0,439.0,2628.0,541.0,205.0,108.0,83.0,26.0,131.0,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50;nan,2008,13,SU1194873670,"51.46188, -1.8294093",Natural_regen,7.96,104.2,No,Yes,No,No,Above_median,Below_median
Jemma_7,3507.0,4048.0,693.0,1693.0,685.0,144.0,93.0,23.0,3.0,16.0,26.0,48.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51;nan,2014,7,SU1641473039,"51.456096, -1.7651546",Green_hay_bush,7.95,106.1,No,No,Yes,Yes,Above_median,Below_median
Jemma_4,2997.0,3519.0,1358.0,2273.0,463.0,207.0,31.0,64.0,0.0,10.0,22.0,38.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52;nan,2015,6,SU1261971802,"51.44507, -1.8198169",Green_hay_bush,7.31,145.8,Yes,Yes,Yes,No,Below_median,Below_median
Jemma_5,2248.0,3190.0,1169.0,2893.0,944.0,218.0,103.0,35.0,13.0,21.0,141.0,1.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53;nan,2015,6,SU1538172691,"51.452995, -1.7800368",seed_mix,8.2,77.7,Yes,No,Yes,No,Above_median,Below_median
Jemma_6,2799.0,3567.0,1512.0,1927.0,493.0,318.0,158.0,5.0,60.0,50.0,72.0,25.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54;nan,2013,8,SU1560872573,"51.451928, -1.7767752",seed_mix,8.54,66.9,Yes,No,Yes,No,Above_median,Below_median
Jemma_9,6243.0,1690.0,172.0,1844.0,743.0,125.0,37.0,3.0,15.0,9.0,13.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55;nan,2015,6,SU1669072674,"51.452806, -1.7611995",seed_mix,8.22,104.9,Yes,No,Yes,No,Above_median,Below_median
HomeFarm_WoodlandTrust_Hampshire_good_1c,42.0,4679.0,2627.0,3080.0,47.0,92.0,176.0,36.0,0.0,17.0,196.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56;nan,1994,27,SU6579941829,"51.171925, -1.0602025",seed_mix,6.62,28.4,No,Yes,No,No,Below_median,Above_median
Crux_easton_70b1,3855.0,2843.0,484.0,2816.0,614.0,185.0,25.0,12.0,36.0,4.0,97.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57;nan,2000,21,SU4192556251,"51.303843, -1.3999827",seed_mix,7.78,80.7,No,No,Yes,Yes,Below_median,Above_median
Crux_easton_70b2,2282.0,3668.0,518.0,2455.0,1541.0,169.0,64.0,25.0,76.0,47.0,136.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58;nan,2002,19,SU4195056550,"51.306529, -1.399589",seed_mix,8.4,76.3,Yes,No,Yes,No,Above_median,Above_median
Martin_Down_arabel_reversion,2060.0,4071.0,576.0,3595.0,224.0,210.0,61.0,101.0,17.0,56.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59;nan,1957,64,SU0390520162,"50.980853, -1.9457471",Natural_regen,8.23,115.8,No,No,Yes,Yes,Above_median,Above_median
Parsonage_down_reversion,3815.0,3701.0,686.0,1959.0,140.0,71.0,236.0,155.0,40.0,112.0,30.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,60;nan,1945,76,SU0610341686,"51.174381, -1.9140803",Natural_regen,8.12,89.8,No,Yes,No,Yes,Above_median,Above_median
