sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GP247	63409	57254	90.29	52896	39221	61.85	37699	59.45
GP248	64006	58642	91.62	54695	43496	67.96	42257	66.02
GP249	76154	69846	91.72	65466	53191	69.85	51581	67.73
GP250	66026	60325	91.37	56952	47274	71.6	45716	69.24
GP251	65214	59777	91.66	56862	48023	73.64	46972	72.03
GP252	75487	69073	91.5	65831	56008	74.2	54711	72.48
GP253	63174	58859	93.17	51010	24297	38.46	19359	30.64
GP254	63637	57499	90.35	54318	45084	70.85	43893	68.97
GP255	49430	46087	93.24	39505	17351	35.1	14518	29.37
GP256	64306	59004	91.76	53954	35733	55.57	33868	52.67
GP257	66432	60389	90.9	51767	24352	36.66	20587	30.99
GP258	59243	55211	93.19	48563	26284	44.37	23593	39.82
GP259	63264	59001	93.26	50823	24757	39.13	22358	35.34
GP260	65239	59277	90.86	54450	39268	60.19	37861	58.03
GP261	66397	61353	92.4	56245	38147	57.45	35860	54.01
GP262	66505	60968	91.67	55863	38234	57.49	36152	54.36
GP263	65975	60638	91.91	56950	44393	67.29	42919	65.05
