site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
23	WESTMEAD_FARM	Q1	CU0256	2000	21	SU6317525168	"51.022422, -1.1006408"	seed_mix	7.75	159	1	0	1	0
	WESTMEAD_FARM	Q4	CU0257	2000	21	SU6317525168	"51.022422, -1.1006408"	seed_mix	7.75	159	1	0	1	0
	WESTMEAD_FARM	Q7	CU0258	2000	21	SU6317525168	"51.022422, -1.1006408"	seed_mix	7.75	159	1	0	1	0
	WESTMEAD_FARM	Q10	CU0259	2000	21	SU6317525168	"51.022422, -1.1006408"	seed_mix	7.75	159	1	0	1	0
	WESTMEAD_FARM	Q13	CU0260	2000	21	SU6317525168	"51.022422, -1.1006408"	seed_mix	7.75	159	1	0	1	0
24	RSPB_orig_green	Q1	CU0261	2006	15	SU2135640329	"51.161815, -1.6959767"	Green_hay/bush	7.99	138.1	0	1	1	0
	RSPB_orig_green	Q4	CU0262	2006	15	SU2135640329	"51.161815, -1.6959767"	Green_hay/bush	7.99	138.1	0	1	1	0
	RSPB_orig_green	Q7	CU0263	2006	15	SU2135640329	"51.161815, -1.6959767"	Green_hay/bush	7.99	138.1	0	1	1	0
	RSPB_orig_green	Q10	CU0264	2006	15	SU2135640329	"51.161815, -1.6959767"	Green_hay/bush	7.99	138.1	0	1	1	0
	RSPB_orig_green	Q13	CU0265	2006	15	SU2135640329	"51.161815, -1.6959767"	Green_hay/bush	7.99	138.1	0	1	1	0
25	RSPB_churchil	Q1	CU0266	2010	11	SU2075340336	"51.1619, -1.7045994"	Green_hay/bush	8.01	116.8	0	0	1	0
	RSPB_churchil	Q4	CU0267	2010	11	SU2075340336	"51.1619, -1.7045994"	Green_hay/bush	8.01	116.8	0	0	1	0
	RSPB_churchil	Q7	CU0268	2010	11	SU2075340336	"51.1619, -1.7045994"	Green_hay/bush	8.01	116.8	0	0	1	0
	RSPB_churchil	Q10	CU0269	2010	11	SU2075340336	"51.1619, -1.7045994"	Green_hay/bush	8.01	116.8	0	0	1	0
	RSPB_churchil	Q13	CU0270	2010	11	SU2075340336	"51.1619, -1.7045994"	Green_hay/bush	8.01	116.8	0	0	1	0
