sampleid	Site	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
GP326	MannorFmAltonBarnes	2012	9	SU1211561331	51.35093, -1.827423	seed_mix	8.07	21.6	yes	yes	yes	no
GP327	MannorFmAltonBarnes	2012	9	SU1211561331	51.35093, -1.827423	seed_mix	8.07	21.6	yes	yes	yes	no
GP328	MannorFmAltonBarnes	2012	9	SU1211561331	51.35093, -1.827423	seed_mix	8.07	21.6	yes	yes	yes	no
GP329	MannorFmAltonBarnes	2012	9	SU1211561331	51.35093, -1.827423	seed_mix	8.07	21.6	yes	yes	yes	no
GP330	MannorFmAltonBarnes	2012	9	SU1211561331	51.35093, -1.827423	seed_mix	8.07	21.6	yes	yes	yes	no
GP331	HommingtonFarm	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	8.22	26.3	yes	yes	yes	yes
GP332	HommingtonFarm	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	8.22	26.3	yes	yes	yes	yes
GP333	HommingtonFarm	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	8.22	26.3	yes	yes	yes	yes
GP334	HommingtonFarm	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	8.22	26.3	yes	yes	yes	yes
GP335	HommingtonFarm	2014	7	SU1332825982	51.033048, -1.811306	seed_mix	8.22	26.3	yes	yes	yes	yes
GP336	ThropeManor_1	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	7.54	78.1	yes	no	yes	no
GP337	ThropeManor_1	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	7.54	78.1	yes	no	yes	no
GP338	ThropeManor_1	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	7.54	78.1	yes	no	yes	no
GP339	ThropeManor_1	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	7.54	78.1	yes	no	yes	no
GP340	ThropeManor_1	2002	19	SU0886123850	51.013962, -1.8750607	seed_mix	7.54	78.1	yes	no	yes	no
GP341	ThropeManor_2	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	7.73	28.8	yes	no	yes	yes
GP342	ThropeManor_2	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	7.73	28.8	yes	no	yes	yes
GP343	ThropeManor_2	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	7.73	28.8	yes	no	yes	yes
GP344	ThropeManor_2	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	7.73	28.8	yes	no	yes	yes
GP345	ThropeManor_2	1998	23	SU0843924348	51.018447, -1.8810649	seed_mix	7.73	28.8	yes	no	yes	yes
GP346	ThropeManor_3	2000	21	SU0901525189	51.026001, -1.8728325	seed_mix	8.13	28.5	yes	no	yes	no
