k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;__	5.0	5.0	5.0	5.0	5.0	1.0	4.0	16.0	25.75	70.0	1.0	10.0	29.0	41.0	69.0	1.0	1.0	12.0	40.5	103.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter	1.0	1.0	1.0	1.0	1.0	1.0	1.75	12.0	18.0	81.0	1.0	1.0	21.0	55.0	119.0	1.0	1.0	39.0	48.5	353.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Marmoricola	1.0	3.75	6.5	9.25	12.0	1.0	13.5	19.0	27.75	38.0	1.0	19.0	22.0	29.0	44.0	4.0	15.0	23.0	38.0	79.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae;g__Humicoccus	1.0	2.75	4.5	6.25	8.0	9.0	16.75	20.5	29.25	63.0	1.0	12.0	17.0	29.0	62.0	1.0	11.0	23.0	35.0	76.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__	1.0	4.0	7.0	10.0	13.0	1.0	9.75	17.5	41.75	177.0	1.0	1.0	13.0	30.0	87.0	1.0	1.0	1.0	36.0	100.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Desulfuromonas	1.0	1.0	1.0	1.0	1.0	1.0	3.25	20.5	36.75	78.0	1.0	6.0	14.0	28.0	80.0	1.0	10.0	23.0	59.0	116.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	1.0	3.0	5.0	7.0	9.0	7.0	20.5	33.5	42.0	70.0	5.0	17.0	39.0	51.0	91.0	1.0	25.0	40.0	48.0	133.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas	1.0	1.0	1.0	1.0	1.0	1.0	12.25	28.0	35.5	106.0	1.0	12.0	36.0	60.0	92.0	1.0	2.5	19.0	54.5	96.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia	1.0	1.0	1.0	1.0	1.0	1.0	12.0	14.5	36.5	48.0	1.0	5.0	14.0	36.0	70.0	1.0	12.0	38.0	54.5	125.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	1.0	2.5	4.0	5.5	7.0	1.0	16.25	19.5	28.0	47.0	1.0	5.0	25.0	31.0	48.0	1.0	1.0	14.0	22.5	51.0
